recipe_name,description,ingredients,instructions,image_url,video_url
Mediterranean Lemon-Herb Grilled Salmon with Quinoa,"A vibrant and healthy Mediterranean-inspired dish featuring flaky grilled salmon topped with a zesty fresh herb salsa, served alongside light and fluffy quinoa.","[""2 salmon fillets (6 oz each), skin on or off"", ""1 tbsp olive oil"", ""1/2 tsp salt"", ""1/4 tsp black pepper"", ""For the Lemon-Herb Salsa:"", ""1/4 cup fresh parsley, finely chopped"", ""2 tbsp fresh mint, finely chopped"", ""1 tbsp fresh dill, finely chopped"", ""1 clove garlic, minced"", ""Zest of 1 lemon"", ""2 tbsp fresh lemon juice"", ""2 tbsp extra virgin olive oil"", ""Pinch of red pepper flakes (optional)"", ""For the Quinoa:"", ""1 cup quinoa, rinsed"", ""2 cups vegetable broth or water"", ""1/4 tsp salt"", ""Cherry tomatoes and cucumber slices for serving (optional)""]","[""Prepare the quinoa: In a medium saucepan, combine rinsed quinoa, vegetable broth (or water), and salt. Bring to a boil, then reduce heat to low, cover, and simmer for 15 minutes, or until all liquid is absorbed. Remove from heat and let stand, covered, for 5 minutes, then fluff with a fork."", ""Prepare the salmon: Pat salmon fillets dry with paper towels. Rub with 1 tablespoon olive oil, salt, and pepper."", ""Preheat a grill or grill pan to medium-high heat. Place salmon fillets skin-side down (if applicable) and grill for 4-6 minutes per side, or until cooked through and flakes easily with a fork. Cooking time will vary based on thickness."", ""While salmon is grilling, prepare the lemon-herb salsa: In a small bowl, combine chopped parsley, mint, dill, minced garlic, lemon zest, lemon juice, 2 tablespoons extra virgin olive oil, and red pepper flakes (if using). Stir well to combine."", ""To serve, place a generous portion of quinoa on each plate. Top with the grilled salmon fillet. Spoon the fresh lemon-herb salsa generously over the salmon. Garnish with cherry tomatoes and cucumber slices if desired.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Lemon-Herb+Grilled+Salmon+with+Quinoa,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Lemon-Herb+Grilled+Salmon+with+Quinoa
Mediterranean Lemon Herb Baked Cod,"A light, healthy, and flavorful cod dish baked with fresh herbs, cherry tomatoes, Kalamata olives, and a zesty lemon dressing, perfect for a quick weeknight meal or a casual dinner party.","[""2 cod fillets (about 6 oz each)"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""1/4 cup fresh parsley, chopped"", ""2 cloves garlic, minced"", ""1 lemon, thinly sliced, plus 2 tbsp juice"", ""2 tbsp extra virgin olive oil"", ""1 tsp dried oregano"", ""Salt to taste"", ""Black pepper to taste""]","[""Preheat oven to 400\u00b0F (200\u00b0C)."", ""In a small bowl, whisk together olive oil, lemon juice, minced garlic, dried oregano, salt, and pepper."", ""Place cod fillets in a baking dish."", ""Arrange halved cherry tomatoes, halved Kalamata olives, and lemon slices around and over the cod."", ""Pour the olive oil and lemon mixture over the cod and vegetables."", ""Sprinkle with fresh parsley."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork."", ""Serve immediately, garnished with extra fresh parsley if desired.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Lemon+Herb+Baked+Cod,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Lemon+Herb+Baked+Cod
Mediterranean Baked Cod with Cherry Tomatoes and Olives,"A light and flavorful Mediterranean-inspired dish featuring flaky cod baked with sweet cherry tomatoes, briny olives, fresh herbs, and a hint of lemon. Perfect for a healthy weeknight meal.","[""4 cod fillets (about 6 oz each)"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""2 cloves garlic, minced"", ""1/4 cup fresh parsley, chopped"", ""2 tablespoons fresh oregano, chopped (or 1 teaspoon dried)"", ""2 tablespoons olive oil"", ""1 lemon, thinly sliced"", ""Salt to taste"", ""Black pepper to taste""]","[""Preheat your oven to 400\u00b0F (200\u00b0C)."", ""In a large baking dish, combine the halved cherry tomatoes, pitted Kalamata olives, minced garlic, chopped parsley, and chopped oregano."", ""Drizzle with 1 tablespoon of olive oil and season with salt and pepper. Toss gently to combine."", ""Arrange the cod fillets over the vegetable mixture in the baking dish. Drizzle the remaining 1 tablespoon of olive oil over the fish and season with a pinch more salt and pepper."", ""Place lemon slices over each cod fillet."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork."", ""Serve immediately, spooning some of the cooked tomato and olive mixture over the fish.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives
Lemon Garlic Ricotta Pasta,"A quick and creamy weeknight pasta dish bursting with fresh lemon, garlic, and smooth ricotta, finished with a hint of chili for warmth.","[""12 oz spaghetti or linguine"", ""1 cup fresh ricotta cheese"", ""1/4 cup reserved pasta water"", ""3 cloves garlic, minced"", ""1/2 cup grated Parmesan cheese, plus more for serving"", ""Zest of 1 large lemon"", ""2 tbsp fresh lemon juice"", ""1/4 cup fresh parsley, chopped"", ""1/2 tsp red pepper flakes (optional)"", ""2 tbsp olive oil"", ""Salt and black pepper to taste""]","[""Cook pasta according to package directions until al dente. Before draining, reserve 1/4 cup of the starchy pasta water."", ""While pasta cooks, in a large bowl, whisk together the ricotta cheese, reserved pasta water, minced garlic, lemon zest, and lemon juice until smooth."", ""Drain the pasta and add it directly to the bowl with the ricotta mixture. Add the grated Parmesan cheese, chopped parsley, and red pepper flakes (if using)."", ""Drizzle with olive oil. Toss well to combine, ensuring the pasta is evenly coated with the creamy sauce. If the sauce is too thick, add a little more pasta water, one tablespoon at a time, until desired consistency is reached."", ""Season with salt and black pepper to taste. Serve immediately, garnished with extra Parmesan and a sprinkle of fresh parsley.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Lemon+Garlic+Ricotta+Pasta,https://www.youtube.com/results?search_query=how+to+make+Lemon+Garlic+Ricotta+Pasta
Mediterranean Baked Cod with Cherry Tomatoes and Olives,"A light, flavorful, and healthy seafood dish featuring flaky cod baked with sun-ripened cherry tomatoes, briny Kalamata olives, aromatic garlic, and fresh herbs, all drizzled with olive oil. It's a taste of the Mediterranean that's perfect for a weeknight meal or entertaining.","[""4 cod fillets (approx. 6 oz each), fresh or thawed"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""4 cloves garlic, thinly sliced"", ""1/4 cup fresh parsley, chopped"", ""2 tablespoons fresh oregano, chopped (or 1 tsp dried)"", ""3 tablespoons extra virgin olive oil"", ""1 lemon, thinly sliced"", ""Salt to taste"", ""Black pepper to taste"", ""Optional: Pinch of red pepper flakes""]","[""Preheat oven to 400\u00b0F (200\u00b0C)."", ""In a large mixing bowl, combine the halved cherry tomatoes, pitted olives, sliced garlic, chopped parsley, and chopped oregano. Drizzle with 2 tablespoons of olive oil and toss gently to combine. Season with a pinch of salt and pepper."", ""Arrange the cod fillets in a single layer in a baking dish. Season both sides of the cod with salt and pepper."", ""Spoon the tomato and olive mixture evenly over and around the cod fillets."", ""Place lemon slices on top of the cod fillets."", ""Drizzle the remaining 1 tablespoon of olive oil over everything."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork. Cooking time may vary depending on the thickness of the fillets."", ""Garnish with extra fresh parsley if desired before serving. Serve immediately, perhaps with a side of quinoa or crusty bread.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives
Lemon Garlic Butter Pasta with Spinach,"A quick, flavorful, and incredibly simple pasta dish perfect for a busy weeknight. It's light yet satisfying, with bright lemon and savory garlic notes.","[""12 oz spaghetti or linguine"", ""4 tablespoons unsalted butter"", ""4 cloves garlic, minced"", ""1/2 cup dry white wine or vegetable broth"", ""Juice of 1 large lemon"", ""1/4 cup reserved pasta water"", ""4 cups fresh spinach"", ""1/2 cup grated Parmesan cheese (plus more for serving)"", ""Salt and freshly ground black pepper to taste"", ""Red pepper flakes (optional, for a hint of heat)"", ""Fresh parsley, chopped (for garnish)""]","[""Bring a large pot of salted water to a rolling boil. Add the pasta and cook according to package directions until al dente."", ""While the pasta cooks, melt the butter in a large skillet or pot over medium heat. Add the minced garlic and cook for 1 minute until fragrant, being careful not to burn it."", ""Pour in the white wine or vegetable broth and bring to a simmer, scraping up any browned bits from the bottom of the pan. Let it simmer for 2-3 minutes to reduce slightly."", ""Add the lemon juice and about 1/4 cup of the reserved pasta water to the skillet. Stir well."", ""Once the pasta is cooked, drain it, reserving at least 1 cup of pasta water. Add the drained pasta directly to the skillet with the sauce."", ""Add the fresh spinach to the skillet. Toss everything together, allowing the spinach to wilt from the heat of the pasta and sauce."", ""Stir in the Parmesan cheese. Toss continuously until the sauce coats the pasta beautifully. If the sauce seems too dry, add a splash more reserved pasta water, one tablespoon at a time, until desired consistency is reached."", ""Season with salt, black pepper, and optional red pepper flakes to taste. Garnish with fresh parsley and serve immediately with extra Parmesan cheese on the side.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Lemon+Garlic+Butter+Pasta+with+Spinach,https://www.youtube.com/results?search_query=how+to+make+Lemon+Garlic+Butter+Pasta+with+Spinach
Speedy Sun-Dried Tomato & Spinach Pasta,"A quick and delicious weeknight pasta dish featuring the rich flavors of sun-dried tomatoes, fresh spinach, and creamy feta cheese, perfect for a busy evening.","[""8 oz pasta (penne or fusilli recommended)"", ""1 tbsp olive oil"", ""2 cloves garlic minced"", ""1/2 cup sun-dried tomatoes packed in oil drained and sliced"", ""4 cups fresh spinach"", ""1/4 cup reserved pasta water"", ""1/2 cup crumbled feta cheese"", ""Salt and black pepper to taste"", ""Red pepper flakes optional for a kick""]","[""Cook pasta according to package directions. Before draining, reserve 1/4 cup of the pasta water. Drain pasta and set aside."", ""While pasta cooks, heat olive oil in a large skillet or pan over medium heat. Add minced garlic and cook for 1 minute until fragrant, being careful not to burn."", ""Stir in the sliced sun-dried tomatoes and cook for another 2-3 minutes, allowing their flavors to release."", ""Add the fresh spinach to the skillet. Cook stirring frequently until the spinach wilts down, about 2-3 minutes."", ""Add the cooked pasta to the skillet. Pour in the reserved pasta water and toss everything together to combine, ensuring the pasta is well coated."", ""Remove from heat and stir in the crumbled feta cheese. Toss gently until the feta is slightly melted and creamy."", ""Season with salt and black pepper to taste. If desired, sprinkle with red pepper flakes for a little heat. Serve immediately.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Speedy+Sun-Dried+Tomato+%26+Spinach+Pasta,https://www.youtube.com/results?search_query=how+to+make+Speedy+Sun-Dried+Tomato+%26+Spinach+Pasta
Mediterranean Baked Cod with Cherry Tomatoes and Olives,"A light and flavorful baked cod dish featuring fresh cherry tomatoes, briny olives, capers, and aromatic herbs, all baked to perfection in a vibrant Mediterranean sauce.","[""4 cod fillets (6 oz each)"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""2 tablespoons capers, drained"", ""3 cloves garlic, minced"", ""1/4 cup fresh parsley, chopped"", ""2 tablespoons fresh oregano, chopped (or 1 tsp dried)"", ""1/4 cup olive oil"", ""1/2 lemon, thinly sliced"", ""Salt to taste"", ""Black pepper to taste""]","[""Preheat oven to 400\u00b0F (200\u00b0C)."", ""In a large mixing bowl, combine the halved cherry tomatoes, pitted olives, capers, minced garlic, chopped parsley, chopped oregano, and olive oil. Season with salt and pepper and toss gently to combine."", ""Place the cod fillets in a single layer in a baking dish. Season the cod lightly with salt and pepper."", ""Spoon the tomato-olive mixture evenly over and around the cod fillets. Place a few lemon slices on top of each fillet."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork. Cooking time may vary depending on the thickness of the fillets."", ""Garnish with extra fresh parsley if desired. Serve immediately with a side of crusty bread or quinoa.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives
Mediterranean Baked Cod,"A light and flavorful seafood dish featuring flaky cod baked with cherry tomatoes, Kalamata olives, fresh herbs, and olive oil, capturing the essence of Mediterranean flavors.","[""2 cod fillets (about 6 oz each)"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""1/4 cup fresh parsley, chopped"", ""2 cloves garlic, minced"", ""2 tbsp extra virgin olive oil"", ""1 tbsp lemon juice"", ""1/2 tsp dried oregano"", ""Salt to taste"", ""Black pepper to taste"", ""Optional: fresh basil leaves for garnish""]","[""Preheat oven to 400\u00b0F (200\u00b0C)."", ""In a mixing bowl, combine halved cherry tomatoes, Kalamata olives, minced garlic, chopped parsley, dried oregano, 1 tablespoon of olive oil, lemon juice, salt, and pepper. Toss gently to combine."", ""Place the cod fillets in a baking dish. Season both sides of the fish with a pinch of salt and pepper."", ""Spoon the tomato-olive mixture over and around the cod fillets in the baking dish."", ""Drizzle the remaining 1 tablespoon of olive oil over the fish and vegetables."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork."", ""Garnish with fresh basil, if desired, and serve immediately with a side of couscous or crusty bread.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod
Mediterranean Baked Cod with Cherry Tomatoes and Olives,"A light, flavorful, and easy-to-prepare cod dish inspired by the vibrant flavors of the Mediterranean, featuring flaky cod baked with juicy cherry tomatoes, briny Kalamata olives, fresh lemon, and aromatic herbs.","[""4 (6 oz) cod fillets"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""2 cloves garlic, minced"", ""1/4 cup fresh parsley, chopped"", ""2 tablespoons fresh dill, chopped (optional)"", ""1 lemon, thinly sliced, plus 2 tablespoons fresh lemon juice"", ""3 tablespoons extra virgin olive oil"", ""1 teaspoon dried oregano"", ""1/2 teaspoon salt"", ""1/4 teaspoon black pepper""]","[""Preheat your oven to 400\u00b0F (200\u00b0C)."", ""In a large baking dish or rimmed baking sheet, arrange the cod fillets in a single layer."", ""Scatter the halved cherry tomatoes and Kalamata olives around the cod."", ""In a small bowl, whisk together the olive oil, lemon juice, minced garlic, dried oregano, salt, and black pepper."", ""Pour the olive oil mixture evenly over the cod, tomatoes, and olives."", ""Top each cod fillet with a few lemon slices."", ""Bake for 12-18 minutes, or until the cod is opaque and flakes easily with a fork. Cooking time may vary depending on the thickness of your fillets."", ""Remove from oven, sprinkle with fresh chopped parsley and dill (if using) before serving."", ""Serve immediately with a side of quinoa, rice, or a fresh green salad.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives
Mediterranean Grilled Swordfish with Lemon-Herb Couscous,"A light and flavorful Mediterranean-inspired dish featuring perfectly grilled swordfish, served alongside fluffy lemon-herb couscous and sweet roasted cherry tomatoes. Ideal for a healthy and elegant meal.","[""2 swordfish steaks (about 6 oz each, 1.5 cm thick)"", ""1 tablespoon olive oil (for fish)"", ""1/2 teaspoon dried oregano"", ""1/4 teaspoon garlic powder"", ""Salt and freshly ground black pepper to taste"", ""1 cup instant couscous"", ""1 cup hot vegetable broth or water"", ""1/4 cup fresh parsley, chopped"", ""2 tablespoons fresh mint, chopped"", ""1 lemon, juiced and zested"", ""1 pint cherry tomatoes"", ""1 tablespoon olive oil (for tomatoes)"", ""1 clove garlic, minced (for tomatoes)"", ""Pinch of red pepper flakes (optional)""]","[""Preheat grill to medium-high heat. If using an oven, preheat to 400\u00b0F (200\u00b0C)."", ""For the swordfish: Pat swordfish steaks dry. In a small bowl, combine 1 tablespoon olive oil, oregano, garlic powder, salt, and pepper. Rub the mixture over both sides of the swordfish steaks."", ""Grill swordfish for 4-6 minutes per side, or until cooked through and flakes easily with a fork. If baking, place on a baking sheet and bake for 10-15 minutes, or until cooked through."", ""For the roasted tomatoes: Toss cherry tomatoes with 1 tablespoon olive oil, minced garlic, a pinch of salt, pepper, and optional red pepper flakes. Spread on a small baking sheet and roast in the oven for 15-20 minutes, or until softened and slightly burst."", ""For the couscous: In a medium bowl, combine instant couscous with hot vegetable broth or water. Cover and let sit for 5 minutes, or until liquid is absorbed. Fluff with a fork."", ""Stir chopped parsley, chopped mint, lemon zest, and lemon juice into the fluffed couscous. Season with salt and pepper to taste."", ""To serve: Divide the lemon-herb couscous among plates. Top each serving with a grilled swordfish steak and a generous spoonful of roasted cherry tomatoes.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Grilled+Swordfish+with+Lemon-Herb+Couscous,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Grilled+Swordfish+with+Lemon-Herb+Couscous
Garlic Lemon Butter Pasta with Spinach,"A quick and flavorful pasta dish perfect for a busy weeknight. It combines the brightness of lemon, richness of butter, and freshness of spinach for a satisfying meal.","[""8 oz spaghetti or linguine"", ""4 tbsp unsalted butter"", ""4 cloves garlic, minced"", ""1/2 cup pasta water"", ""1/4 cup fresh lemon juice"", ""1/2 tsp red pepper flakes (optional)"", ""4 cups fresh spinach"", ""1/4 cup grated Parmesan cheese (plus more for serving)"", ""Salt and black pepper to taste"", ""Fresh parsley, chopped (for garnish)""]","[""Cook pasta according to package directions until al dente. Reserve 1/2 cup of pasta water before draining."", ""While pasta cooks, melt butter in a large skillet or pot over medium heat. Add minced garlic and red pepper flakes (if using) and cook for 1-2 minutes until fragrant, being careful not to burn the garlic."", ""Stir in the fresh spinach and cook until wilted, about 2-3 minutes."", ""Add the cooked and drained pasta to the skillet with the spinach. Pour in the lemon juice and half of the reserved pasta water."", ""Toss everything together. If the pasta seems too dry, add more pasta water a tablespoon at a time until a light sauce forms and coats the pasta."", ""Stir in the grated Parmesan cheese until melted and well combined."", ""Season with salt and black pepper to taste. Garnish with fresh chopped parsley and extra Parmesan cheese before serving.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Garlic+Lemon+Butter+Pasta+with+Spinach,https://www.youtube.com/results?search_query=how+to+make+Garlic+Lemon+Butter+Pasta+with+Spinach
Mediterranean Baked Cod with Cherry Tomatoes and Olives,"A light and flavorful Mediterranean-inspired baked cod dish, featuring fresh cherry tomatoes, briny olives, and fragrant herbs, all cooked in a single pan for easy cleanup. It's healthy, quick, and perfect for a weeknight.","[""4 (6 oz) cod fillets"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""2 cloves garlic, minced"", ""1/4 cup fresh parsley, chopped"", ""2 tbsp fresh oregano, chopped (or 1 tsp dried)"", ""3 tbsp olive oil"", ""1 tbsp fresh lemon juice"", ""Salt to taste"", ""Black pepper to taste"", ""Lemon wedges for serving""]","[""Preheat your oven to 400\u00b0F (200\u00b0C)."", ""In a large baking dish or rimmed baking sheet, combine the halved cherry tomatoes, pitted Kalamata olives, minced garlic, chopped parsley, and chopped oregano."", ""Drizzle the vegetable mixture with 2 tablespoons of olive oil, salt, and pepper. Toss gently to combine."", ""Place the cod fillets on top of the vegetable mixture in a single layer."", ""Drizzle the remaining 1 tablespoon of olive oil over the cod fillets and season them with salt and pepper."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork. Cooking time may vary depending on the thickness of your fillets."", ""Remove from the oven and drizzle the fresh lemon juice over the cod and vegetables."", ""Serve immediately with fresh lemon wedges on the side. This dish pairs well with a side of quinoa, couscous, or a light green salad.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives
Creamy Lemon Garlic Pasta with Spinach,"A quick, flavorful, and light pasta dish perfect for a busy weeknight, featuring a creamy lemon-garlic sauce and fresh spinach.","[""12 oz spaghetti or linguine"", ""2 tbsp olive oil"", ""4 cloves garlic, minced"", ""1/2 cup vegetable broth"", ""1/2 cup heavy cream (or half-and-half)"", ""Zest of 1 lemon"", ""Juice of 1/2 lemon"", ""4 cups fresh spinach"", ""1/4 cup grated Parmesan cheese"", ""Salt and freshly ground black pepper to taste"", ""Red pepper flakes (optional)""]","[""Cook pasta according to package directions until al dente. Before draining, reserve 1/2 cup of the pasta water."", ""While pasta cooks, heat olive oil in a large skillet or pot over medium heat. Add minced garlic and cook for 1 minute until fragrant, being careful not to brown it."", ""Pour in vegetable broth, heavy cream, lemon zest, and lemon juice. Bring to a gentle simmer and cook for 2-3 minutes, stirring occasionally, until the sauce slightly thickens."", ""Add fresh spinach to the skillet, stirring until it wilts, which should take about 1-2 minutes."", ""Add the drained pasta to the skillet with the sauce. Toss to coat evenly."", ""Stir in the grated Parmesan cheese. If the sauce is too thick, add a splash of the reserved pasta water until you reach your desired consistency."", ""Season generously with salt, black pepper, and red pepper flakes (if using) to taste."", ""Serve immediately, garnished with extra Parmesan cheese if desired.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Creamy+Lemon+Garlic+Pasta+with+Spinach,https://www.youtube.com/results?search_query=how+to+make+Creamy+Lemon+Garlic+Pasta+with+Spinach
Lemon Garlic Butter Pasta with Spinach,"A light, flavorful, and incredibly quick weeknight pasta dish, perfect for busy evenings. The bright lemon and aromatic garlic complement the rich butter and fresh spinach for a simple yet satisfying meal.","[""8 oz spaghetti or linguine"", ""4 tbsp unsalted butter"", ""4 cloves garlic, minced"", ""1/2 cup pasta water (reserved)"", ""Juice of 1 large lemon"", ""1/2 tsp red pepper flakes (optional)"", ""4 cups fresh spinach"", ""1/4 cup grated Parmesan cheese, plus more for serving"", ""Salt and freshly ground black pepper to taste"", ""Fresh parsley, chopped, for garnish (optional)""]","[""Bring a large pot of salted water to a rolling boil. Add pasta and cook according to package directions until al dente. Before draining, reserve about 1 cup of the pasta water."", ""While pasta cooks, melt butter in a large skillet or wide pan over medium heat. Add minced garlic and red pepper flakes (if using) and cook for 1-2 minutes until fragrant, being careful not to burn the garlic."", ""Add the fresh spinach to the skillet and toss until it wilts, which should only take 1-2 minutes."", ""Drain the cooked pasta and add it directly to the skillet with the spinach and garlic butter. Add the lemon juice and 1/4 cup of the reserved pasta water."", ""Toss everything together, adding more pasta water a tablespoon at a time if needed, until a light sauce forms and coats the pasta. Stir in the grated Parmesan cheese."", ""Season with salt and freshly ground black pepper to taste. Serve immediately, garnished with fresh parsley and extra Parmesan cheese if desired.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Lemon+Garlic+Butter+Pasta+with+Spinach,https://www.youtube.com/results?search_query=how+to+make+Lemon+Garlic+Butter+Pasta+with+Spinach
Mediterranean Lemon Herb Salmon with Roasted Vegetables,"A light and flavorful Mediterranean-inspired salmon dish, baked with fresh herbs, lemon, and a medley of colorful roasted vegetables. Perfect for a healthy weeknight meal or a casual dinner party.","[""2 salmon fillets (6 oz each)"", ""1 bell pepper (any color), sliced"", ""1 zucchini, sliced"", ""1/2 red onion, sliced"", ""1 pint cherry tomatoes"", ""2 cloves garlic, minced"", ""2 tablespoons olive oil"", ""1 lemon, half sliced, half juiced"", ""1 teaspoon dried oregano"", ""1/2 teaspoon dried thyme"", ""Salt to taste"", ""Black pepper to taste"", ""Fresh parsley or dill for garnish (optional)""]","[""Preheat oven to 400\bF (200\bC)."", ""On a large baking sheet, combine the sliced bell pepper, zucchini, red onion, and cherry tomatoes."", ""Drizzle vegetables with 1 tablespoon of olive oil, minced garlic, oregano, thyme, salt, and pepper. Toss to coat evenly."", ""Push the vegetables to one side of the baking sheet to make space for the salmon."", ""Place salmon fillets on the other side of the baking sheet. Drizzle salmon with the remaining 1 tablespoon of olive oil, lemon juice, salt, and pepper."", ""Place a few lemon slices on top of each salmon fillet."", ""Bake for 15-20 minutes, or until salmon is cooked through and flakes easily with a fork, and vegetables are tender-crisp."", ""Garnish with fresh parsley or or dill, if desired."", ""Serve immediately.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Lemon+Herb+Salmon+with+Roasted+Vegetables,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Lemon+Herb+Salmon+with+Roasted+Vegetables
Lemon Garlic Parmesan Pasta,"A light, zesty, and incredibly quick pasta dish perfect for a weeknight. It's bursting with fresh lemon, pungent garlic, and savory Parmesan.","[""8 oz spaghetti or linguine"", ""3 tablespoons olive oil"", ""4 cloves garlic, minced"", ""1/2 cup grated Parmesan cheese, plus more for serving"", ""Zest of 1 large lemon"", ""Juice of 1 large lemon (about 3-4 tablespoons)"", ""1/4 cup reserved pasta water"", ""Salt and freshly ground black pepper to taste"", ""Fresh parsley, chopped, for garnish (optional)""]","[""Bring a large pot of salted water to a rolling boil. Add the spaghetti and cook according to package directions until al dente."", ""While the pasta is cooking, heat the olive oil in a large skillet over medium-low heat. Add the minced garlic and cook for 1-2 minutes until fragrant, being careful not to brown it."", ""Before draining the pasta, reserve about 1 cup of the starchy pasta water. Drain the remaining pasta."", ""Add the drained pasta to the skillet with the garlic and olive oil. Immediately add the lemon juice, lemon zest, and Parmesan cheese."", ""Pour in 1/4 cup of the reserved pasta water. Toss vigorously with tongs until the sauce emulsifies and coats the pasta, adding a little more pasta water if needed to reach desired consistency."", ""Season with salt and freshly ground black pepper to taste. Garnish with fresh parsley if desired and serve immediately with extra Parmesan.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Lemon+Garlic+Parmesan+Pasta,https://www.youtube.com/results?search_query=how+to+make+Lemon+Garlic+Parmesan+Pasta
Mediterranean Baked Cod with Cherry Tomatoes and Olives,"A light, healthy, and flavorful seafood dish inspired by the Mediterranean coast, featuring tender cod baked with sweet cherry tomatoes, briny olives, fresh herbs, and a hint of lemon. It's simple enough for a weeknight yet elegant enough for guests.","[""2 lbs cod fillets (or other firm white fish like halibut or snapper)"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""1/4 cup fresh parsley, chopped"", ""2 cloves garlic, minced"", ""2 tbsp olive oil"", ""1 lemon, thinly sliced"", ""1/2 tsp dried oregano"", ""Salt to taste"", ""Black pepper to taste""]","[""Preheat oven to 400\u00b0F (200\u00b0C)."", ""Lightly grease a baking dish or line with parchment paper."", ""Place cod fillets in the baking dish."", ""In a medium bowl, combine the halved cherry tomatoes, halved Kalamata olives, minced garlic, chopped fresh parsley, olive oil, dried oregano, salt, and pepper. Toss gently to combine."", ""Spoon the tomato and olive mixture evenly over and around the cod fillets in the baking dish."", ""Arrange lemon slices on top of the cod and the vegetable mixture."", ""Bake for 12-18 minutes, or until the fish is opaque and flakes easily with a fork. Cooking time will vary depending on the thickness of the fish."", ""Serve immediately, perhaps with a side of couscous, quinoa, or a simple green salad.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives
